
ObjectClass Name                          PrincipalSource
----------- ----                          ---------------
Grupo       INTRABANK\Admin_FT            ActiveDirectory
Grupo       INTRABANK\ADMIN_TI            ActiveDirectory
Usuário     INTRABANK\carolina.brandalise ActiveDirectory
Grupo       INTRABANK\Domain Admins       ActiveDirectory
Usuário     INTRABANK\ellem.santos        ActiveDirectory
Usuário     INTRABANK\titanium            ActiveDirectory
Usuário     INTRA-RECEP-05\Administrador  Local          
Usuário     INTRA-RECEP-05\intrabank      Local          


